JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456692.64514,11.9,,,Vis.,SJZ,,118,120,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456693.32014,12.0,,,Vis.,BBI,,118,120,4691qj,,,,Z,,,,T UMI,VVS,STD,,,,
2456695.2708,12.2,,,Vis.,KWO,,120,127,3541don,,,,Z,,,,T UMI,BAV,STD,,,,
2456698.31398,11.46,0.04,,CV,FGIA,,ensemble,000-BJP-266,7047HGW,,0,1.73,Z,,9.23,,T UMI,UAI,DIF,,,,
2456700.3125,12.2,,,Vis.,PLP,B,120,00,2569AFRO,,,,Z,,,,T UMi,,STD,,,,
2456703.4,12.1,,,Vis.,BOZ,,120,128,080701,,,,Z,,,,T UMI,MCSE,STD,,,,
2456705.3076,11.9,,,Vis.,VFK,,118,120,1432MWR,LEIPZIG 130/650,,,Z,,,,T UMI,BAV,STD,,,,
2456705.95694,12.3,,,Vis.,SLH,,12.0,12.7,13175 bkf,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456706.3,12.0,,,Vis.,SYU,,118,120,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456706.64931,11.9,,,Vis.,SJZ,B,118,120,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456711.3382,12.3,,,Vis.,KWO,,120,127,3541don,,,,Z,,,,T UMI,BAV,STD,,,,
2456711.5,12.3,,,Vis.,SHS,,121,126,sd1943,,,,Z,,,,T UMi,AAVSO,STD,,,,
2456712.29581,11.76,0.01,,CV,FGIA,,ensemble,000-BJP-266,7047HGW,,0,1.67,Z,,9.23,,T UMI,UAI,DIF,,,,
2456712.3368,12.0,,,Vis.,PLP,,114,120,2569AFRO,,,,Z,,,,T UMi,,STD,,,,
2456712.3882,11.9,,,Vis.,VFK,,118,120,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456712.61875,12.0,,,Vis.,SJZ,,120,,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456713.3,12.0,,,Vis.,SYU,,118,120,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456713.3326,11.9,,,Vis.,VFK,,118,120,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456715.4146,12.3,,,Vis.,GGU,,120,127,GGU-66541,,,,Z,,,,T UMI,KNVWS,STD,,,,
2456717.3146,11.9,,,Vis.,VFK,,118,120,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456717.90913,11.805,0.012,,V,MZK,,ENSEMBLE,127,10539MBT,,1,1.208,Z,,12.723,,T UMI,AAVSO,STD,,,,
2456717.91064,7.332,0.046,,I,MZK,,ENSEMBLE,127,10539MBT,,1,1.210,Z,,11.916,,T UMI,AAVSO,STD,,,,
2456717.91667,12.2,,,Vis.,SLH,,12.0,12.7,13175 bkf,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456718.62361,12.4,,,Vis.,SJZ,,120,127,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456719.4,12.0,,,Vis.,SYU,,118,120,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456721.42847,12.2,,,Vis.,BBI,,120,127,4691qj,,,,Z,,,,T UMI,VVS,STD,,,,
2456722.3160,11.9,,,Vis.,PLP,,114,120,2569AFRO,,,,Z,,,,T UMi,,STD,,,,
2456723.4215,12.5,,,Vis.,BVE,,120,127,070923,,,,Z,,,,T UMI,KNVWS,STD,,,,
2456723.6250,12.15,,,Vis.,KMA,,115,121,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456724.2917,11.9,,,Vis.,VFK,,118,120,1432MWR,HORSCHA_203/800,,,Z,,,,T UMI,BAV,STD,,,,
2456725.273,11.5,,,Vis.,EPE,,NA,,S/B/1939,,,,Z,,,,T UMI,AFOEV,STD,,,,
2456725.3,12.0,,,Vis.,NDQ,,NA,,NA,,,,Z,,,,T UMI,AFOEV,STD,,,,
2456725.3090,12.0,,,Vis.,VFK,,118,120,1432MWR,HORSCHA_203/800,,,Z,,,,T UMI,BAV,STD,,,,
2456725.32500,11.61,0.015,,V,TIA,,000BBT765,,13281AQG,,0,,Z,12.779,,,T UMI,MCSE,STD,,,,
2456725.32500,9.65,0.015,,R,TIA,,000BBT765,,13281AQG,,0,,Z,12.373,,,T UMI,MCSE,STD,,,,
2456726.37376,12.06,0.04,,CV,FGIA,BV,ensemble,000-BJP-266,7047HGW,,0,1.34,Z,,9.18,,T UMi,UAI,DIF,,,,
2456726.3986,12.2,,,Vis.,GGU,,120,127,GGU-66541,,,,Z,,,,T UMI,KNVWS,STD,,,,
2456726.4,11.9,,,Vis.,BOZ,,114,120,080701,,,,Z,,,,T UMI,MCSE,STD,,,,
2456726.4,11.9,,,Vis.,SYU,,118,120,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456726.58333,12.2,,,Vis.,SJZ,,120,127,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456728.30,11.9,,,Vis.,HCS,,000,,999999,,,,Z,,,,T UMI,MCSE,STD,,,,
2456728.3083,11.8,,,Vis.,KWO,,114,118,3541dom,,,,Z,,,,T UMI,BAV,STD,,,,
2456728.312,11.2,,,Vis.,EPE,,NA,,S/B/1939,,,,Z,,,,T UMI,AFOEV,STD,,,,
2456728.40625,11.6,,,Vis.,BBI,,114,118,4691qj,,,,Z,,,,T UMI,VVS,STD,,,,
2456728.49514,11.57,0.015,,V,TIA,,000BBT765,,13281AQG,,0,,Z,12.779,,,T UMI,MCSE,STD,,,,
2456730.30000,10.7,,,Vis.,KOS,,10.5,11.4,1238beb,,,,T,,,,T UMI,MCSE,STD,,,,
2456733.31420,11.32,0.03,,CV,FGIA,B,ensemble,000-BJP-266,7047HGW,,0,1.44,Z,,9.22,,T UMi,UAI,DIF,,,,
2456734.67222,11.4,,,Vis.,MCPA,B,112,118,10912BB,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456737.20000,11.8,,,Vis.,KOS,,11.4,12.0,1238beb,,,,Z,,,,T UMI,MCSE,STD,,,,
2456737.2924,11.4,,,Vis.,KWO,,114,118,3541dom,,,,Z,,,,T UMI,BAV,STD,,,,
2456737.4563,11.8,,,Vis.,VFK,,118,120,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456737.52153,11.3,,,Vis.,SLH,,11.2,11.4,13175 bkf,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456737.8757,11.6,,,Vis.,KMA,,115,121,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456738.41,11.2,,,Vis.,BFO,,000,,999999,,,,Z,,,,T UMI,MCSE,STD,,,,
2456738.41667,11.5,,,Vis.,KKAA,B,112,118,4909ksj,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456741.36458,11.3,,,Vis.,BBI,,112,114,13295GR,,,,Z,,,,T UMI,VVS,STD,,,,
2456741.4,11.3,,,Vis.,SYU,,112,118,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456741.66944,11.3,,,Vis.,MCPA,,112,114,10912BB,,,,Z,,,,T UMi,AAVSO,STD,,,,
2456742.8472,11.3,,,Vis.,KMA,,109,115,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456743.319,10.8,,,Vis.,EPE,,NA,,S/B/1939,,,,Z,,,,T UMI,AFOEV,STD,,,,
2456743.4,11.2,,,Vis.,SYU,,109,112,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456743.570,11.1,,,Vis.,MHH,,10.9,11.2,3539cle,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456744.3292,11.1,,,Vis.,KWO,,109,112,3541dom,,,,Z,,,,T UMI,BAV,STD,,,,
2456744.4417,11.5,,,Vis.,VFK,,114,118,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456745.3125,11.1,,,Vis.,PLP,,109,114,2569AFRO,,,,Z,,,,T UMi,,STD,,,,
2456745.3583,11.1,,,Vis.,VFK,,109,112,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456745.38889,11.3,,,Vis.,KKAA,B,112,114,4909ksj,,,,Z,,,,T UMi,AAVSO,STD,,,,
2456746.3472,11.0,,,Vis.,VFK,,109,112,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456746.8493,11.0,,,Vis.,KMA,,109,115,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456747.30,11.4,,,Vis.,HCS,,000,,999999,,,,Z,,,,T UMI,MCSE,STD,,,,
2456750.3799,11.0,,,Vis.,VFK,,109,112,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456750.572,11.0,,,Vis.,MHH,,10.9,11.2,3539cle,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456750.8188,11.1,,,Vis.,KMA,,109,115,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456751.38194,11.3,,,Vis.,KKAA,,112,,4909ksj,,,,Z,,,,T UMi,AAVSO,STD,,,,
2456753.8299,11.0,,,Vis.,KMA,,109,115,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456756.5,10.8,,,Vis.,GZN,,105,109,13186AYS,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456757.65972,10.9,,,Vis.,MCPA,B,109,112,10912BB,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456758.8063,10.9,,,Vis.,KMA,,109,115,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456762.34178,10.66,0.03,,CV,FGIA,B,ensemble,000-BJP-266,7047HGW,,0,1.32,Z,,9.23,,T UMI,UAI,DIF,,,,
2456763.3056,10.8,,,Vis.,PLP,,105,109,2569AFRO,,,,Z,,,,T UMi,,STD,,,,
2456763.3882,10.9,,,Vis.,HGUA,,105,112,6052ATK,,,,Z,,,,T UMI,SAAF,STD,,,,
2456764.3125,10.9,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 130/650,,,Z,,,,T UMI,BAV,STD,,,,
2456764.3500,10.6,,,Vis.,KWO,,105,109,3541dom,,,,Z,,,,T UMI,BAV,STD,,,,
2456764.36458,10.8,,,Vis.,SYU,,105,109,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456764.4,10.8,,,Vis.,SYU,,105,109,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456765.333,10.0,,,Vis.,EPE,,NA,,S/B/1939,,,,T,,,,T UMI,AFOEV,STD,,,,
2456765.3472,10.8,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 10X50,,,Z,,,,T UMI,BAV,STD,,,,
2456765.608,10.6,,,Vis.,MHH,,10.5,10.9,3539cle,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456766.3556,10.8,,,Vis.,VFK,,105,109,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456766.6118,10.5,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456767.59,10.5,,,Vis.,BFO,,000,,999999,,,,Z,,,,T UMI,MCSE,STD,,,,
2456769.4,10.7,,,Vis.,SYU,,105,109,8376V,,,,Z,,,,T UMI,BAV,STD,,,,
2456770.3160,10.5,,,Vis.,PLP,,105,109,2569AFRB,,,,Z,,,,T UMi,,STD,,,,
2456771.3125,10.7,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456771.60347,10.7,,,Vis.,MCPA,,105,109,10912BB,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456772.3347,10.7,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456772.37677,10.15,0.02,,CV,FGIA,,ensemble,000-BJP-266,7047HFU,,0,1.20,Z,,9.19,,T UMI,UAI,DIF,,,,
2456772.599,10.7,,,Vis.,MHH,,10.5,10.9,3539cle,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456773.3507,10.7,,,Vis.,VFK,,105,109,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456773.3868,10.7,,,Vis.,HGUA,,105,109,12871DW,,,,Z,,,,T UMI,SAAF,STD,,,,
2456773.4,10.8,,,Vis.,SYU,,105,109,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456773.8000,10.5,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456774.40764,10.7,,,Vis.,KKAA,,105,112,4909ksj,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456775.4,10.9,,,Vis.,SYU,,105,109,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456776.3125,10.7,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456776.344,10.5,,,Vis.,EPE,,NA,,S/B/1939,,,,Z,,,,T UMI,AFOEV,STD,,,,
2456776.3694,10.7,,,Vis.,HGUA,,105,109,12871DW,,,,Z,,,,T UMI,SAAF,STD,,,,
2456777.3993,10.8,,,Vis.,VFK,,105,109,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456777.69722,10.5,,,Vis.,MCPA,,105,109,10912BB,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456778.3368,10.8,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456778.3521,10.7,,,Vis.,KWO,,105,109,3541dom,,,,Z,,,,T UMI,BAV,STD,,,,
2456780.3917,10.6,,,Vis.,GGU,,105,109,GGU-66541,,,,Z,,,,T UMI,KNVWS,STD,,,,
2456780.4,10.7,,,Vis.,SYU,,105,109,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456780.49514,10.6,,,Vis.,KKAA,W,105,112,4909ksj,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456781.3292,10.8,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456781.39306,10.4,,,Vis.,MMH,,100,105,13378SEI,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456781.40556,10.6,,,Vis.,BBI,,105,109,13295GR,,,,Z,,,,T UMI,VVS,STD,,,,
2456782.3403,10.6,,,Vis.,PLP,,105,109,2569AFRO,,,,Z,,,,T UMi,,STD,,,,
2456782.34874,10.48,0.06,,CV,FGIA,,ensemble,000-BJP-265,7047HGW,,0,1.16,Z,,9.10,,T UMI,UAI,DIF,,,,
2456782.3646,10.9,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456782.3924,10.7,,,Vis.,HGUA,,105,109,12871DW,,,,Z,,,,T UMI,SAAF,STD,,,,
2456782.87639,10.3,,,Vis.,SLH,,10.0,10.5,13175 bkc,,,,Z,,,,T UMi,AAVSO,STD,,,,
2456783.3313,10.8,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456783.3597,10.6,,,Vis.,KWO,,105,109,3541dom,,,,Z,,,,T UMI,BAV,STD,,,,
2456783.47222,10.5,,,Vis.,SJZ,,105,,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456783.551,10.44,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456784.588,10.7,,,Vis.,MHH,,10.5,10.9,3539cle,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456785.536,10.45,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456786.39,11.00,,,Vis.,CJE,,NA,,NA,,,,Z,,,,T UMI,AFOEV,STD,,,,
2456786.486,10.41,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456787.40,10.4,,,Vis.,BFO,,000,,999999,,,,Z,,,,T UMI,MCSE,STD,,,,
2456788.511,10.46,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456788.6778,10.4,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456792.618,10.51,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456793.3993,10.9,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456793.4160,10.7,,,Vis.,HGUA,,105,109,12871DY,,,,Z,,,,T UMI,SAAF,STD,,,,
2456793.494,10.43,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456794.4083,10.7,,,Vis.,GGU,,105,109,GGU-66541,,,,Z,,,,T UMI,KNVWS,STD,,,,
2456794.41875,10.6,,,Vis.,CQP,,105,112,13176AAN,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456795.43472,10.7,,,Vis.,BBI,U,105,109,13295GR,,,,Z,,,,T UMI,VVS,STD,,,,
2456795.5,10.8,,,Vis.,GZN,,105,109,13186AYS,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456795.517,10.52,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456796.6757,10.7,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456797.36,11.0,,,Vis.,JZO,,000,,999999,,,,Z,,,,T UMI,MCSE,STD,,,,
2456797.4000,10.9,,,Vis.,VFK,,105,109,1432MWR,108/440,,,Z,,,,T UMI,BAV,STD,,,,
2456797.405,10.5,,,Vis.,EPE,,NA,,S/B/1939,,,,Z,,,,T UMI,AFOEV,STD,,,,
2456798.3528,10.9,,,Vis.,VFK,,109,112,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456798.4,13.8,,,Vis.,BOZ,,137,138,080701,,,,T,,,,T UMI,MCSE,STD,,,,
2456798.46181,10.5,,,Vis.,SJZ,,105,,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456799.30000,10.9,,,Vis.,KOS,,10.5,11.4,1238beb,,,,Z,,,,T UMI,MCSE,STD,,,,
2456799.34492,10.40,0.03,,CV,FGIA,,ensemble,000-BJP-266,7047HFU,,0,1.14,Z,,9.18,,T UMI,UAI,STD,,,,
2456799.47083,10.7,,,Vis.,KKAA,BU,105,112,4909ksj,Thin clouds,,,Z,,,,T UMI,AAVSO,STD,,,,
2456800.4,10.5,,,Vis.,SYU,,105,109,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456800.4167,11.0,,,Vis.,HGUA,,109,112,12871DW,,,,Z,,,,T UMI,SAAF,STD,,,,
2456800.6396,10.5,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456802.3611,10.8,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456802.4389,10.8,,,Vis.,KWO,,105,109,3541dom,,,,Z,,,,T UMI,BAV,STD,,,,
2456802.576,10.8,,,Vis.,MHH,,10.5,10.9,3539cle,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456803.3576,10.9,,,Vis.,VFK,,105,109,1432MWR,LEIPZIG 113/450,,,Z,,,,T UMI,BAV,STD,,,,
2456803.44722,10.8,,,Vis.,SJZ,,105,109,11785CPM,,,,Z,,,,T UMI,,STD,,,,
2456803.7076,10.6,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456804.30,11.2,,,Vis.,HCS,,000,,999999,,,,Z,,,,T UMI,MCSE,STD,,,,
2456806.5,11.2,,,Vis.,SHS,,115,109,sd1943,,,,Z,,,,T UMi,AAVSO,STD,,,,
2456806.505,10.33,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456806.72554,10.493,0.041,,V,WRCA,,ENSEMBLE,112,13468IUU,,0,1.334,Z,,11.203,,T UMI,AAVSO,STD,,,,
2456807.4,10.8,,,Vis.,SYU,,105,109,8376X,,,,Z,,,,T UMI,BAV,STD,,,,
2456807.486,10.57,0.05,,TG,MEV,,ENSEMBLE,,TYCHO 2,ASTROMETRY PHOTO.EXE,0,,Z,,,,T UMI,AFOEV,STD,,,,
2456807.6743,10.8,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
2456808.7653,10.7,,,Vis.,KMA,,104,109,SD1943,,,,Z,,,,T UMI,AAVSO,STD,,,,
